"","ID","NAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17306","AT5G37480",NA,-1.41812439642224,8.54248319366716,-0.882771047846564,0.40766392786564,0.479544645450953,-5.29657964633183
"18431","AT5G52470","ATFBR1",4.58389652322376,99.4470444823057,0.882617105072858,0.407741457463212,0.479607285383369,-5.29670150516197
"13550","AT4G22360",NA,1.38137846529203,29.1891509767309,0.882412500193333,0.40784451860315,0.479699947632427,-5.2968634421486
"14946","AT4G39050","Kin7.4",3.8463789988693,132.643874820781,0.882156101287201,0.407973695857961,0.479823314359262,-5.29706633149699
"13300","AT4G19006","RPN9B",1.83595787132027,28.8279513153577,0.882060251242672,0.40802199413813,0.479851549217397,-5.29714216636046
"19272","AT5G63260",NA,-1.4174900201699,23.5232505299741,-0.881980105010737,0.408062382585596,0.479870478961534,-5.29720557179317
"1030","AT1G12990",NA,-1.577118061448,28.6472990313737,-0.881802306331438,0.408151991958375,0.47994728550186,-5.29734621643208
"6970","AT2G34050","P11",0.646128105970866,6.83488919370624,0.881506608481964,0.40830105377586,0.480093989064782,-5.2975800750475
"5746","AT2G17680",NA,-0.144704759416726,0.784459747419489,-0.881404904896773,0.408352331982999,0.480125704779011,-5.29766049547444
"3050","AT1G51680","4CL.1",-15.2645172852313,219.765170017608,-0.881184598920258,0.408463424882774,0.48022774045556,-5.29783467436518
"7773","AT2G43490",NA,1.83802403672883,29.2059055205992,0.881065798083754,0.408523341368962,0.480269599797803,-5.29792858712865
"466","AT1G06470",NA,-1.561579141429,20.6458505677265,-0.880910852690177,0.40860149684906,0.480332895070003,-5.29805105777658
"12005","AT3G63210","MARD1",3.85768816094035,70.409482576343,0.880801115391872,0.4086568557126,0.480369385762969,-5.29813778541821
"6960","AT2G33840",NA,1.2018214445709,21.8036897573835,0.880696806807995,0.40870948107614,0.480402659120437,-5.2982202149476
"14685","AT4G36020","AtCSP1",1.1197421798889,18.7413339749937,0.880160129407806,0.408980322188249,0.480692407003432,-5.29864420409514
"9053","AT3G11660","NHL1",3.80357594584183,27.4887852588568,0.879980672691945,0.409070916717597,0.480770281344563,-5.29878593531096
"17762","AT5G44010",NA,-0.270986397241093,1.53742078714444,-0.879890121949598,0.409116634737632,0.480795407377427,-5.29885744199667
"6313","AT2G25320",NA,-2.57458331909504,49.6021880882137,-0.879812153251777,0.409156003235398,0.480805080487929,-5.29891900828567
"12318","AT4G03130",NA,0.196102460419053,1.23599748567724,0.879777413818526,0.409173545007724,0.480805080487929,-5.29894643817536
"7837","AT2G44255",NA,-0.495274085524734,8.11446790267539,-0.879612688026487,0.409256731266703,0.480874224925199,-5.29907649259722
"417","AT1G05860",NA,0.573915220644199,9.88438426822197,0.879556878201939,0.409284917953957,0.480878740811424,-5.29912055136638
"1268","AT1G15720","TRFL5",0.264714020582123,3.95361275188572,0.879384027682109,0.409372224951593,0.480952713910656,-5.29925699366529
"10773","AT3G47690","AtEB1a",-0.419300341434607,5.88486842804237,-0.879285311596603,0.409422092694092,0.48095409247616,-5.29933490753074
