NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0005496	GO:0005496		17	-0.62164086	-1.8345696	0.0	0.044245776	0.673	6124	tags=71%, list=31%, signal=103%	
GO:0007029	GO:0007029		15	-0.6301705	-1.8260888	0.00954654	0.04611885	0.713	5238	tags=67%, list=27%, signal=91%	
GO:0005795	GO:0005795		136	-0.38183528	-1.8185326	0.0	0.047783624	0.74	6501	tags=46%, list=33%, signal=69%	
GO:0016236	GO:0016236		16	-0.61437154	-1.8048023	0.0071090045	0.052444384	0.776	3268	tags=50%, list=17%, signal=60%	
GO:0031985	GO:0031985		133	-0.38402224	-1.7949493	0.0	0.054719776	0.804	6501	tags=47%, list=33%, signal=69%	
GO:0050657	GO:0050657		34	-0.49690527	-1.7905763	0.0051282053	0.055029985	0.817	5042	tags=35%, list=26%, signal=47%	
GO:0031146	GO:0031146		41	-0.471702	-1.7890904	0.0027777778	0.054144382	0.825	2193	tags=27%, list=11%, signal=30%	
GO:0051236	GO:0051236		34	-0.49690527	-1.7827486	0.008310249	0.055895552	0.843	5042	tags=35%, list=26%, signal=47%	
GO:0035966	GO:0035966		30	-0.49540824	-1.7807522	0.005249344	0.05542828	0.852	4139	tags=50%, list=21%, signal=63%	
GO:0015918	GO:0015918		17	-0.597026	-1.7755014	0.009478673	0.05657011	0.868	5920	tags=59%, list=30%, signal=84%	
GO:0000139	GO:0000139		185	-0.35809574	-1.7745467	0.0	0.055490732	0.872	4767	tags=37%, list=24%, signal=48%	
GO:0035967	GO:0035967		28	-0.50546354	-1.7602297	0.0025062656	0.06079065	0.908	4139	tags=54%, list=21%, signal=68%	
GO:0007034	GO:0007034		45	-0.45137838	-1.7599889	0.0	0.059391428	0.909	7345	tags=64%, list=38%, signal=103%	
GO:0016197	GO:0016197		40	-0.4694369	-1.7567878	0.008174387	0.05959507	0.915	7689	tags=75%, list=39%, signal=123%	
GO:0006403	GO:0006403		35	-0.48466557	-1.7447759	0.0024390244	0.06469814	0.94	5042	tags=34%, list=26%, signal=46%	
GO:0032934	GO:0032934		15	-0.6106368	-1.7447252	0.009661836	0.06320542	0.94	6124	tags=67%, list=31%, signal=97%	
GO:0050658	GO:0050658		34	-0.49690527	-1.7425072	0.007575758	0.06270442	0.942	5042	tags=35%, list=26%, signal=47%	
GO:0000209	GO:0000209		55	-0.4344876	-1.7386609	0.0	0.063708186	0.947	4511	tags=38%, list=23%, signal=49%	
GO:0072666	GO:0072666		22	-0.52297527	-1.7359354	0.004901961	0.06391279	0.952	7345	tags=73%, list=38%, signal=116%	
GO:0036503	GO:0036503		39	-0.46046177	-1.7147691	0.0075376886	0.07443687	0.969	4281	tags=38%, list=22%, signal=49%	
GO:0005797	GO:0005797		36	-0.46012133	-1.7075117	0.007832898	0.07713254	0.973	6416	tags=58%, list=33%, signal=87%	
GO:0051028	GO:0051028		28	-0.49716908	-1.6954715	0.01010101	0.083780274	0.984	4917	tags=36%, list=25%, signal=48%	
GO:0006897	GO:0006897		32	-0.47916412	-1.6906087	0.004796163	0.08527804	0.985	5594	tags=59%, list=29%, signal=83%	
GO:0051169	GO:0051169		43	-0.4332208	-1.6828636	0.002754821	0.08886465	0.992	5381	tags=37%, list=27%, signal=51%	
GO:0072665	GO:0072665		22	-0.52297527	-1.677145	0.00486618	0.09128304	0.992	7345	tags=73%, list=38%, signal=116%	
GO:0000137	GO:0000137		29	-0.48397356	-1.6766216	0.015584416	0.090023726	0.993	6903	tags=59%, list=35%, signal=90%	
GO:0010008	GO:0010008		67	-0.39178652	-1.6717442	0.0029850747	0.09207741	0.993	7183	tags=57%, list=37%, signal=89%	
GO:0006913	GO:0006913		43	-0.4332208	-1.6480778	0.0	0.10902722	0.996	5381	tags=37%, list=27%, signal=51%	
GO:0034976	GO:0034976		50	-0.41434005	-1.6429302	0.0058651026	0.111583084	0.996	4281	tags=36%, list=22%, signal=46%	
GO:0051235	GO:0051235		31	-0.45783296	-1.6309811	0.0026666666	0.11982312	0.999	6161	tags=45%, list=31%, signal=66%	
GO:0006914	GO:0006914		33	-0.44886523	-1.6309736	0.010498688	0.11773959	0.999	4431	tags=45%, list=23%, signal=59%	
GO:0012506	GO:0012506		108	-0.35844183	-1.6295812	0.0	0.11675256	0.999	7183	tags=54%, list=37%, signal=84%	
GO:0015850	GO:0015850		21	-0.50743824	-1.627668	0.019498607	0.11604689	0.999	5920	tags=57%, list=30%, signal=82%	
GO:0040008	GO:0040008		71	-0.3837649	-1.6252127	0.003125	0.11638062	0.999	2579	tags=27%, list=13%, signal=31%	
GO:0140030	GO:0140030		22	-0.5001832	-1.6176208	0.01923077	0.12119459	1.0	5744	tags=45%, list=29%, signal=64%	
GO:0061919	GO:0061919		33	-0.44886523	-1.616109	0.010025063	0.1206063	1.0	4431	tags=45%, list=23%, signal=59%	
