"","id","name","p_val","log_fold_change","sig_rank"
"3789","AT3G18770","ATG13B",0.000410688921489191,-3.79447846441081,-11.2496663490286
"3790","AT1G78930","mTERF16",0.000412298668117174,-1.88794360358387,-11.2440225787742
"3791","AT3G20830","AGC2-4",0.000412298668117174,-7.05200883624057,-11.2440225787742
"3792","AT4G39830","AO",0.000412411106384985,-2.04630487770352,-11.2436291940045
"3794","AT5G05290","ATEXP2",0.000413519423021837,-29.2629576266351,-11.2397572851246
"3800","AT3G15500","ANAC055",0.000413844928575661,-14.4873008321587,-11.2386221014015
"3801","AT2G36270","ABI5",0.000414146726267078,-16.4117914309172,-11.2375703950238
"3802","AT5G07220","ATBAG3",0.000416085240042776,-37.6490172029291,-11.2308332675541
"3805","AT2G40820","SCAB2",0.000416582946361002,-16.5055261228318,-11.2291085985098
"3808","AT3G17100","AIF3",0.000418484547415647,-92.638354218648,-11.222538027451
"3809","AT5G38940",NA,0.000419030753019739,-1.35142865404697,-11.2206562511357
"3810","AT1G59580","ATMPK2",0.000419145083591332,-18.894645998827,-11.2202626722648
"3813","AT3G30210","ATMYB121",0.000419753712447257,-1.0225241030051,-11.218169294636
"3815","AT2G43210","PUX11",0.000420291687582768,-15.8253535666461,-11.2163214560163
"3822","AT2G27190","ATPAP12",0.000423524398090268,-21.0448162622472,-11.2052672978551
"3824","AT5G64070","PI-4KBETA1",0.00042386224796928,-34.244685738082,-11.2041169035856
"3825","AT5G65925",NA,0.00042430355820099,-5.63801154837015,-11.2026156024589
"3829","AT1G10140",NA,0.000426042921896547,-31.5953114887429,-11.1967135967792
"3830","AT2G36500","CBSCBSPB2",0.000426725594091215,-2.96185842301254,-11.1944037366431
"3832","AT1G67310","CMTA4",0.000427235920751159,-22.4238794242507,-11.1926794298298
"3837","AT5G64260","EXL2",0.000428650472563044,-617.824350628059,-11.187910645659
"3838","AT1G28520","ATVOZ1",0.000429192097349118,-15.3146324200762,-11.1860888673418
"3839","AT4G25500","At-RS40",0.000429429470084219,-22.9236814899081,-11.1852911783727
"3842","AT5G65750",NA,0.000430133491220681,-32.7251018831161,-11.1829279122128
"3843","AT5G51670",NA,0.000430220971302474,-43.6881033006267,-11.1826345282969
"3845","AT3G44300","AtNIT2",0.000430770357986392,-5.08360010447679,-11.1807934004597
"3846","AT1G34300",NA,0.00043176511599268,-15.0339059739191,-11.1774656925053
"3847","AT3G27906",NA,0.000431921589114743,-3.91827301896038,-11.1769429497136
"3849","AT5G58320","NET4A",0.000434300967288334,-12.9995399640495,-11.1690172135398
"3852","AT4G10240","bbx23",0.000436214094452815,-10.4930031921168,-11.1626759940993
"3853","AT5G24780","ATVSP1",0.000436214094452815,-4.60414215636986,-11.1626759940993
"3855","AT5G05110","CYS7",0.000436557110338982,-12.4842589529212,-11.1615419801889
"3856","AT1G70420",NA,0.000436976359888936,-5.29489616004831,-11.1601571464907
"3857","AT2G16530","PPRD2",0.000437231098274085,-2.88912235964596,-11.1593163625053
"3862","AT1G11600","CYP77B1",0.00043840727988094,-18.4005687787283,-11.1554406246795
"3864","AT1G56140",NA,0.000438900119091659,-10.6562114907946,-11.1538197178893
"3865","AT5G64270",NA,0.000438929363769614,-34.666234884956,-11.1537235918131
"3869","AT2G30370","AtEPFL6",0.00043983704561731,-2.24727951640223,-11.150743258127
"3870","AT5G42870","ATPAH2",0.000441201101183956,-21.6764523308446,-11.1462759878254
"3871","AT5G59290","ATUXS3",0.000441515720333181,-37.257687300285,-11.145247573062
"3872","AT5G37790",NA,0.000442007134072191,-43.0546493222055,-11.1436427243954
"3873","AT1G75800",NA,0.000442098669979976,-58.5436251838096,-11.1433439854886
"3875","AT1G05600","EMB3101",0.000442234989822372,-3.78663437649502,-11.142899203228
"3876","AT1G32450","AtNPF7.3",0.00044292214016666,-147.446365783259,-11.1406592651207
"3878","AT1G21770",NA,0.000443947172857662,-10.5306847407029,-11.137324365115
"3879","AT4G35060","AtHMP39",0.000443947172857662,-17.8158241906041,-11.137324365115
"3882","AT1G01800",NA,0.000444562423341165,-13.4519117582329,-11.1353263698944
"3886","AT1G09540","ATMYB61",0.000445963520803241,-3.69388545271454,-11.1307866750287
"3891","AT5G51180",NA,0.000446688268423361,-12.6310036666605,-11.1284440145651
"3892","AT4G14840",NA,0.000446851560762699,-3.04465785343686,-11.1279167161882
"3893","AT1G14790","AtRDR1",0.00044695549289312,-4.40476721769453,-11.1275812022331
"3894","AT5G59540",NA,0.000447170773196617,-19.8658952664108,-11.1268864819368
"3900","AT5G43540",NA,0.000449680349835721,-1.3653426263505,-11.1188125371568
"3912","AT5G46530",NA,0.000455121176231433,-2.57803999942572,-11.1014616648467
"3915","AT1G54920",NA,0.000456604016877731,-21.1471321894812,-11.096768828125
"3917","AT4G01850","AtSAM2",0.000458197314525591,-142.636583758317,-11.0917433764546
"3918","AT1G55840",NA,0.000458731295523156,-37.3511554663716,-11.0900630453672
"3921","AT1G67920",NA,0.000460238525341466,-1.19465307907446,-11.0853306267724
"3922","AT4G27280","CMI1",0.000460474286453751,-6.74922294418623,-11.084591783149
"3924","AT1G01448",NA,0.000462455986497815,-13.1639320060787,-11.0783963135592
"3925","AT3G50480","HR4",0.000462455986497815,-2.81078452852741,-11.0783963135592
"3929","AT2G32160",NA,0.000465495408469363,-1.2768609901074,-11.0689454420793
"3930","AT4G38540",NA,0.000465495408469363,-20.3469839658085,-11.0689454420793
"3931","AT1G02920","ATGST11",0.000465554010111942,-27.2468430827581,-11.0687638313129
"3932","AT2G38470","ATWRKY33",0.000466013747475048,-10.7565820505188,-11.0673398643233
"3933","AT1G11960","OSCA1.3",0.000466192480179751,-12.7230727983041,-11.0667866459855
"3936","AT3G48760","PAT05",0.000467025347763928,-22.4311005601345,-11.0642115253299
"3937","AT2G18280","AtTLP2",0.00046704652701562,-161.638581915536,-11.0641461016677
"3938","AT2G38770","EMB2765",0.000467173574621957,-13.2736665147085,-11.063753708157
"3940","AT3G09440","HSP70-3",0.000467276486750025,-36.3163975801634,-11.0634359366172
"3941","AT3G29575","AFP3",0.000467276486750025,-41.2704235727804,-11.0634359366172
"3942","AT3G07420","ATNS2",0.000467817257728147,-11.9544146072489,-11.0617672960131
"3943","AT4G14560","AXR5",0.000467907225936562,-6.75756123841368,-11.0614898710001
"3944","AT3G01400",NA,0.000468299895334429,-13.1660154891054,-11.0602796639565
"3945","AT4G25640","ATDTX35",0.000468464959939871,-83.8067807240211,-11.0597712377728
"3946","AT1G17145",NA,0.000468536832562468,-9.0429072009619,-11.0595499142338
"3947","AT3G05510",NA,0.000469126532986238,-3.48738551276438,-11.0577352800689
"3948","AT2G21540","ATSFH3",0.000469683677938198,-58.929158945213,-11.056022920437
"3949","AT3G50900",NA,0.000469734733329806,-6.6448782480257,-11.0558661056259
"3950","AT2G47270","UPB1",0.000470407872021172,-7.65369357359858,-11.0538001764524
"3952","AT1G09090","ATRBOHB",0.000471142343763456,-3.89802085777379,-11.0515493799735
"3954","AT1G76220",NA,0.000471466655266921,-3.54001322975901,-11.0505566404247
"3955","AT5G59420","ORP3C",0.000472329048750627,-26.918480769687,-11.0479201140171
"3956","AT2G20550",NA,0.000472644181825081,-1.88427674143579,-11.0469578837107
"3957","AT2G39920",NA,0.000473968092680318,-1.80675718481816,-11.0429224387409
"3958","AT5G25270",NA,0.000473997369348274,-15.5252151812649,-11.0428333272587
"3960","AT5G67520","APK4",0.000474231652837108,-4.0272946917702,-11.0421204200886
"3961","AT5G59590","UGT76E2",0.000474318837925249,-11.2146698324248,-11.0418552122881
"3962","AT1G15110","AtPSS1",0.00047440173855836,-10.9217624165764,-11.0416030825556
"3966","AT3G27990",NA,0.000474608645453942,-3.59351554617542,-11.0409739986975
"3967","AT1G10340",NA,0.000474902961433155,-2.41284654644708,-11.0400796268663
"3972","AT1G14550","PER5",0.000477622436594255,-1.19894695735148,-11.0318417699087
"3973","AT1G18260","EBS5",0.000478400734350262,-21.6374195595703,-11.0294927754594
"3978","AT2G17705",NA,0.000481077624083204,-4.2712983905602,-11.0214426813036
"3979","AT2G41480","AtPRX25",0.000481399428468386,-4.96913787635184,-11.0204779505462
"3982","AT5G16600","AtMYB43",0.000481709641744371,-6.45436525932376,-11.0195485788183
"3983","AT2G45380",NA,0.000482793277301147,-19.7377244642182,-11.0163067922548
"3985","AT3G06920",NA,0.000483677797502301,-2.63781940068575,-11.0136660649794
"3986","AT3G14010","CID4",0.000485658596211872,-29.4904671564822,-11.007769881835
"3987","AT1G27730","STZ",0.000486162139275963,-3.0502714555512,-11.0062748341993
"3988","AT2G01900","t5ptase9",0.000486162139275963,-5.0797111086358,-11.0062748341993
"3991","AT4G19860","LCAT4",0.000487403948608805,-78.7952703247044,-11.0025944407261
"3994","AT1G16030","Hsp70b",0.000488492693651377,-6.8777796835923,-10.9993753954761
"3996","AT3G20920","AtSEC62",0.000488889265061597,-13.8988704287526,-10.9982046522816
"3998","AT5G16120","MAGL15",0.000489078217940322,-16.2683696448361,-10.9976471667021
"3999","AT4G13630","MyoB13",0.000489196794878197,-13.5653948069211,-10.9972974279092
"4003","AT4G39090","RD19",0.000489570207574462,-548.740647646977,-10.9961966129657
"4006","AT4G21326","ATSBT3.12",0.00049016740904719,-4.24544293706265,-10.9944378161303
"4007","AT5G44250",NA,0.00049016740904719,-23.165612934073,-10.9944378161303
"4008","AT1G18700",NA,0.000493358954373057,-16.2411792577126,-10.9850746857713
"4009","AT5G04190","PKS4",0.000493693109014692,-12.3806410436622,-10.9840978715166
