"","id","name","p_val","log_fold_change","sig_rank"
"6100","AT1G04490",NA,0.00215896684433023,-1.25879135471643,-8.85544319687724
"6101","AT1G21200",NA,0.00215896684433023,-6.23200625612924,-8.85544319687724
"6102","AT3G59480","FRK4",0.00215896684433023,-4.51803846418798,-8.85544319687724
"6104","AT1G60960","ATIRT3",0.00216008163229019,-12.8863384431659,-8.85469844992388
"6106","AT1G67580","CDKG2",0.00216511431850494,-16.0718059268091,-8.85134108308838
"6107","AT3G56850","AREB3",0.0021654282233546,-8.69598605105817,-8.85113193194099
"6108","AT1G50110","BCAT6",0.00216560649581837,-3.82497163096659,-8.85101316457189
"6110","AT3G54030","BSK6",0.00217289560962755,-10.2824158387219,-8.84616541851392
"6113","AT5G58790",NA,0.00218234367690703,-1.83615190506396,-8.83990596855222
"6115","AT5G13330","Rap2.6L",0.00218585397476916,-8.13923939992601,-8.83758725918433
"6117","AT3G59700","ATHLECRK",0.00219116603755357,-2.38972767576191,-8.83408547469307
"6120","AT1G16560",NA,0.00219883714847314,-11.3785432134602,-8.82904352621287
"6121","AT1G49240","ACT8",0.00219883714847314,-193.499762972299,-8.82904352621287
"6123","AT3G52290","IQD3",0.00219883714847314,-10.8434946362745,-8.82904352621287
"6126","AT2G21200","SAUR7",0.00220123610460332,-1.76723835966478,-8.82747038765076
"6127","AT2G35300","AtLEA4-2",0.00220123610460332,-26.7446632742603,-8.82747038765076
"6129","AT1G14590",NA,0.00220400270216456,-2.83611345654498,-8.82565829197034
"6130","AT2G26110",NA,0.00220799394465755,-11.3623560007982,-8.82304806907884
"6131","AT2G34200",NA,0.00220817726259686,-2.29352958758575,-8.82292829479035
"6132","AT5G27610","ALY1",0.00220898298241791,-4.05264839983624,-8.82240198017255
"6133","AT5G16480","AtPFA-DSP5",0.00220927904139614,-8.3248490564598,-8.82220863590367
"6137","AT5G10190",NA,0.0022119160582374,-6.0328813311186,-8.82048764803273
"6139","AT3G10250",NA,0.00221299812439369,-11.989459496995,-8.81978205626562
"6140","AT5G44030","CESA4",0.00221477486418738,-14.0962576715625,-8.81862423095096
"6141","AT4G14710","ATARD2",0.00221551045248355,-12.1352357792214,-8.81814515137892
"6143","AT3G56410",NA,0.00222357516265531,-14.8072202350105,-8.81290311228329
"6144","AT3G14430",NA,0.00222592239984443,-4.99851556038872,-8.81138098637173
"6148","AT1G07745","ATRAD51D",0.00223619272289905,-2.25450000590225,-8.80473975462538
"6151","AT3G54350","emb1967",0.00223619272289905,-11.0185790043741,-8.80473975462538
"6152","AT4G25030","AtNHR2B",0.00223619272289905,-21.8462850753097,-8.80473975462538
"6159","AT3G06270",NA,0.0022404671115489,-5.3544918241827,-8.80198473574522
"6161","AT1G67030","ZFP6",0.00224365298188321,-4.23206929040686,-8.79993472815853
"6162","AT1G18390","LRK10L1.1",0.0022477569338997,-3.19684962854326,-8.79729824964465
